"Var1";"Var2";"Var3";"Var4";"mean_cve";"mean_mse"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_TIENECOMPUTADOR";"2.8006101293838";"1.86836892528702"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"FINS_TIENEAUTOMOVILPARTICULAR";"2.78681947883101";"1.8623694910423"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"INGLES_DESEM";"2.8598988890615";"1.95992502894043"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"CALENDARIO";"PERS_GENERO";"2.90779698410962";"2.03397522826213"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_PERSONASHOGARACTUAL";"2.94187117573538";"1.9440992916531"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_CUARTOSHOGARACTUAL";"2.94853594938049";"1.95649774626951"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_PISOSHOGAR";"2.90960177376578";"1.89323846989899"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_TIENEINTERNET";"2.88651058410937";"1.85019499146042"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_TIENECOMPUTADOR";"2.86935626780812";"1.8399717214859"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"FINS_TIENEAUTOMOVILPARTICULAR";"2.88506792290012";"1.86832967164425"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"INGLES_DESEM";"2.98833100810361";"2.01304651924133"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"NATURALEZA";"PERS_GENERO";"3.02409590961344";"2.05921020105684"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_PERSONASHOGARACTUAL";"2.69769518276151";"1.77361027517912"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_CUARTOSHOGARACTUAL";"2.73533378272154";"1.82501583020187"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_PISOSHOGAR";"2.70670909497232";"1.77870837440781"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_TIENEINTERNET";"2.70973592318113";"1.7787515455526"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_TIENECOMPUTADOR";"2.69442515241205";"1.76418506050474"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"FINS_TIENEAUTOMOVILPARTICULAR";"2.70425632820479";"1.78234187229829"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"INGLES_DESEM";"2.76680530867121";"1.86500684577167"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"JORNADA";"PERS_GENERO";"2.83103280872303";"1.95864751279579"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_PERSONASHOGARACTUAL";"2.7877609088891";"1.84637172115616"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_CUARTOSHOGARACTUAL";"2.79298641163623";"1.85394599022074"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_PISOSHOGAR";"2.82721048645791";"1.89029039384064"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_TIENEINTERNET";"2.84128388669797";"1.89740818225489"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_TIENECOMPUTADOR";"2.8030922033875";"1.85547014419496"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"FINS_TIENEAUTOMOVILPARTICULAR";"2.74251071976625";"1.78551467329839"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"INGLES_DESEM";"2.83382626522133";"1.90703415878055"
"INGLES_PUNT";"FINS_ESTRATOVIVIENDAENERGIA";"EVALUADOS";"PERS_GENERO";"2.85453565086885";"1.93942566926584"
